Track Name,Album Name,Album Release Date,Total Tracks on Album,Popularity,Artists,Duration (ms),Track Number,Sentiment,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
Jenny Was A Friend Of Mine,Hot Fuss,1/1/04,11,53,"The Killers,",243933,1,-0.08988764,11,1,4,0.000138,0.547,0.966,0.000659,0.312,-3.839,0.0452,0.532,114.053
Mr. Brightside,Hot Fuss,1/1/04,11,77,"The Killers,",222586,2,-0.016528926,1,1,4,0.00108,0.33,0.936,0,0.0926,-3.66,0.0917,0.234,148.112
Smile Like You Mean It,Hot Fuss,1/1/04,11,58,"The Killers,",234106,3,0.430379747,3,0,4,0.000565,0.378,0.979,0.0159,0.226,-2.622,0.133,0.535,125.1
Somebody Told Me,Hot Fuss,1/1/04,11,68,"The Killers,",197160,4,0.157575758,10,0,4,0.000123,0.5,0.975,0.000379,0.104,-3.176,0.0824,0.767,138.005
All These Things That I've Done,Hot Fuss,1/1/04,11,64,"The Killers,",301573,5,0.166666667,6,1,4,0.00192,0.558,0.74,8.97E-06,0.129,-6.22,0.0448,0.217,118.293
"Andy, You're A Star",Hot Fuss,1/1/04,11,49,"The Killers,",194080,6,0.068181818,1,0,4,0.228,0.495,0.604,0.00406,0.266,-4.234,0.0251,0.679,84.067
On Top,Hot Fuss,1/1/04,11,49,"The Killers,",258986,7,0.193548387,1,0,4,0.0154,0.586,0.934,0,0.105,-3.157,0.0353,0.72,126.981
Change Your Mind,Hot Fuss,1/1/04,11,52,"The Killers,",190840,8,0.049180328,5,1,4,0.000247,0.373,0.979,4.61E-06,0.134,-2.238,0.0707,0.451,147.043
Believe Me Natalie,Hot Fuss,1/1/04,11,46,"The Killers,",306666,9,0.105769231,0,1,4,1.62E-05,0.434,0.906,0.00748,0.052,-5.298,0.0552,0.225,95.974
Midnight Show,Hot Fuss,1/1/04,11,45,"The Killers,",242973,10,0.055555556,3,0,4,0.000102,0.403,0.954,0.00616,0.0875,-3.364,0.0752,0.315,143.983
Everything Will Be Alright,Hot Fuss,1/1/04,11,44,"The Killers,",345253,11,-0.02970297,0,0,4,0.00108,0.508,0.762,0.00154,0.102,-3.895,0.0288,0.212,128.078
Feeling This,blink-182,1/1/03,15,31,"blink-182,",172533,1,-0.132780083,4,1,4,0.0845,0.411,0.975,0,0.505,-3.982,0.127,0.547,173.139
Obvious,blink-182,1/1/03,15,25,"blink-182,",163493,2,0.114942529,4,1,4,0.000295,0.338,0.975,0,0.354,-4.241,0.102,0.507,169.921
I Miss You,blink-182,1/1/03,15,67,"blink-182,",227240,3,-0.435064935,11,1,4,0.00136,0.659,0.778,6.79E-06,0.0841,-6.423,0.0379,0.623,110.022
Violence,blink-182,1/1/03,15,36,"blink-182,",219280,4,-0.25,11,1,4,0.000926,0.64,0.795,6.13E-05,0.493,-5.884,0.0628,0.542,119.179
Stockholm Syndrome Interlude,blink-182,1/1/03,15,27,"blink-182,",100920,5,,4,0,3,0.887,0.366,0.17,0.324,0.124,-19.869,0.0471,0.227,63.147
Stockholm Syndrome,blink-182,1/1/03,15,35,"blink-182,",161133,6,-0.171875,0,1,4,0.0077,0.405,0.989,1.49E-05,0.152,-2.999,0.154,0.511,173.147
Down,blink-182,1/1/03,15,48,"blink-182,",183786,7,-0.272727273,11,1,4,0.0722,0.557,0.901,0.00311,0.14,-6.311,0.038,0.357,93.98
The Fallen Interlude,blink-182,1/1/03,15,28,"blink-182,",132320,8,-0.444444444,11,0,4,0.00373,0.546,0.845,0.862,0.189,-5.467,0.0917,0.154,91.051
Go,blink-182,1/1/03,15,23,"blink-182,",113146,9,-0.1484375,0,1,4,0.00116,0.393,0.982,0,0.129,-3.619,0.0514,0.712,182.168
Asthenia,blink-182,1/1/03,15,32,"blink-182,",259746,10,-0.183333333,2,1,4,0.124,0.403,0.923,7.02E-06,0.111,-5.215,0.152,0.339,174.945
Always,blink-182,1/1/03,15,52,"blink-182,",251893,11,-0.03030303,11,1,4,0.00974,0.468,0.955,0.0125,0.164,-3.82,0.0892,0.592,158.328
Easy Target,blink-182,1/1/03,15,35,"blink-182,",140400,12,0,6,0,4,0.0105,0.509,0.99,0.00254,0.255,-3.14,0.116,0.489,159.816
All Of This,blink-182,1/1/03,15,34,"blink-182,Robert SmithåÊ,",280133,13,0.028985507,9,1,4,0.00499,0.684,0.664,0.023,0.099,-5.315,0.0313,0.707,117.647
Here's Your Letter,blink-182,1/1/03,15,23,"blink-182,",174653,14,-0.425742574,9,1,4,0.0147,0.417,0.947,4.03E-06,0.123,-3.444,0.0775,0.742,176.218
I'm Lost Without You,blink-182,1/1/03,15,36,"blink-182,",380573,15,-0.666666667,4,1,4,0.153,0.258,0.725,0.0258,0.631,-6.067,0.0356,0.401,85.407
Roll Up,Everybody Wants,1/1/14,12,0,"The Struts,",188560,1,0.067484663,7,1,4,0.000266,0.504,0.873,0,0.787,-6.961,0.0563,0.586,155.099
Could Have Been Me,Everybody Wants,1/1/14,12,0,"The Struts,",187653,2,-0.068965517,6,0,4,0.0116,0.505,0.84,0.000163,0.285,-7.625,0.0655,0.455,160.064
Kiss This,Everybody Wants,1/1/14,12,0,"The Struts,",177840,3,0.196428571,8,1,4,0.000579,0.426,0.91,0.000399,0.171,-7.77,0.0851,0.838,186.087
Put Your Money On Me,Everybody Wants,1/1/14,12,0,"The Struts,",215200,4,0.179245283,5,0,4,0.00236,0.565,0.841,0,0.309,-6.168,0.0595,0.668,126.014
She Makes Me Feel,Everybody Wants,1/1/14,12,0,"The Struts,",158586,5,-0.15625,1,1,4,0.02,0.571,0.855,0,0.209,-6.575,0.0613,0.851,141.966
My Machine,Everybody Wants,1/1/14,12,0,"The Struts,",188866,6,-0.039106145,7,1,4,0.000582,0.491,0.87,0,0.124,-6.416,0.0324,0.615,156.02
You & I,Everybody Wants,1/1/14,12,0,"The Struts,",204213,7,-0.329545455,9,1,4,0.00493,0.578,0.664,0.00067,0.159,-7.139,0.0431,0.562,119.983
Dirty Sexy Money,Everybody Wants,1/1/14,12,0,"The Struts,",237786,8,-0.114285714,2,1,4,0.000187,0.582,0.866,1.34E-06,0.171,-6.255,0.0402,0.886,123.06
Let's Make This Happen Tonight,Everybody Wants,1/1/14,12,0,"The Struts,",197946,9,0.02739726,3,1,4,0.406,0.465,0.763,0.0791,0.335,-5.239,0.0559,0.624,118.956
Black Swan,Everybody Wants,1/1/14,12,0,"The Struts,",204666,10,0.028776978,11,1,4,0.0116,0.482,0.841,0,0.0696,-7.095,0.0485,0.533,155.991
Where Did She Go,Everybody Wants,1/1/14,12,0,"The Struts,",234200,11,0.221374046,9,1,4,9.63E-05,0.252,0.915,0,0.115,-6.658,0.0717,0.641,136.015
I Just Know,Everybody Wants,1/1/14,12,0,"The Struts,",150746,12,0,10,1,4,0.000414,0.515,0.778,0.00362,0.116,-6.348,0.0292,0.494,96.074
Is There A Ghost,Cease To Begin,10/9/07,10,24,"Band of Horses,",179666,1,-0.333333333,1,1,4,0.0049,0.3,0.843,4.86E-06,0.079,-3.841,0.0354,0.139,135.648
Ode To LRC,Cease To Begin,10/9/07,10,14,"Band of Horses,",256533,2,0.096,5,1,4,0.00267,0.287,0.727,0,0.0891,-4.862,0.03,0.397,144.952
No One's Gonna Love You,Cease To Begin,10/9/07,10,29,"Band of Horses,",217333,3,0.226415094,1,1,4,0.121,0.313,0.894,0,0.0925,-3.579,0.0294,0.362,149.043
Detlef Schrempf,Cease To Begin,10/9/07,10,16,"Band of Horses,",268480,4,-0.011764706,11,1,4,0.199,0.428,0.485,5.29E-06,0.17,-7.758,0.0297,0.0657,127.039
The General Specific,Cease To Begin,10/9/07,10,20,"Band of Horses,",187053,5,0.013888889,5,1,4,0.204,0.752,0.695,0.00484,0.146,-5.776,0.0279,0.599,118.144
Lamb on the Lam (in the city),Cease To Begin,10/9/07,10,8,"Band of Horses,",50586,6,0,5,1,4,0.91,0.443,0.631,0.868,0.419,-8.144,0.0362,0.265,133.576
Islands On The Coast,Cease To Begin,10/9/07,10,11,"Band of Horses,",214093,7,-0.106382979,1,1,4,0.000603,0.144,0.812,0,0.102,-4.297,0.0384,0.234,79.246
Marry Song,Cease To Begin,10/9/07,10,12,"Band of Horses,",203266,8,0.023529412,8,1,3,0.731,0.526,0.26,0,0.104,-7.673,0.0426,0.232,118.905
"Cigarettes, Wedding Bands",Cease To Begin,10/9/07,10,13,"Band of Horses,",275506,9,-0.526315789,9,0,3,0.0726,0.274,0.76,0,0.172,-4.374,0.0303,0.506,125.715
